id,y_2010,y_2012
1,17.80513547,17.80513547
2,21.52445491,21.52445491
3,12.97208978,12.97208978
4,18.65642431,18.65642431
5,15.59973046,15.59973046
6,19.11582978,19.11582978
7,13.01997411,13.01997411
8,12.66829865,12.66829865
9,14.22609218,14.22609218
10,13.93733113,13.93733113
11,11.64842258,11.64842258
12,18.08730093,18.08730093
13,10.82530745,10.82530745
14,14.40368214,14.40368214
15,18.77788039,18.77788039
16,19.60596898,19.60596898
17,17.07149473,17.07149473
18,16.81210799,16.81210799
19,35.04698729,35.04698729
20,22.2521915,22.2521915
21,13.60609729,13.60609729
22,21.56983693,21.56983693
23,22.54420572,22.54420572
24,29.34541598,29.34541598
25,15.07460337,15.07460337
26,27.9058271,27.9058271
27,28.8372093,28.8372093
28,21.88762748,21.88762748
29,10.42786951,10.42786951
30,24.45763771,24.45763771
31,9.778056015,9.778056015
32,21.83395056,21.83395056
33,14.87713947,14.87713947
34,12.51611924,12.51611924
35,19.69417537,19.69417537
36,20.81747258,20.81747258
37,19.58790419,19.58790419
38,25.60414832,25.60414832
39,21.31376076,21.31376076
40,21.76270683,21.76270683
41,19.81691282,19.81691282
42,23.97375248,23.97375248
43,25.58849172,25.58849172
44,23.95276542,23.95276542
45,9.643957362,9.643957362
46,19.17151072,19.17151072
47,19.48263571,19.48263571
48,19.63325183,19.63325183
49,19.00347024,19.00347024
50,16.9035699,16.9035699
51,22.92256846,22.92256846
52,28.83002822,28.83002822
53,31.56937063,31.56937063
54,27.06478894,27.06478894
55,27.49055387,27.49055387
56,26.3965783,26.3965783
57,21.16470093,21.16470093
58,23.49175163,23.49175163
59,24.5970053,24.5970053
60,19.64382408,19.64382408
61,26.01569006,26.01569006
62,25.54532393,25.54532393
63,26.87157072,26.87157072
64,25.69069446,25.69069446
65,28.09359881,28.09359881
66,4.653571329,4.653571329
67,27.39227389,27.39227389
68,25.83009394,25.83009394
69,25.60263471,25.60263471
70,17.15873449,17.15873449
71,24.48060014,24.48060014
72,27.0468302,27.0468302
73,23.94225272,23.94225272
74,22.39664892,22.39664892
75,24.17715812,24.17715812
76,25.86395622,25.86395622
77,19.02603698,19.02603698
78,24.63619438,24.63619438
79,23.08081831,23.08081831
80,24.05816636,24.05816636
81,20.50262124,20.50262124
82,21.22105005,21.22105005
83,12.78637599,12.78637599
84,23.79067582,23.79067582
85,19.61538462,19.61538462
86,21.32086583,21.32086583
87,7.940305223,7.940305223
88,21.07428861,21.07428861
89,20.53547252,20.53547252
90,17.4186426,17.4186426
91,22.33512489,22.33512489
92,22.63691124,22.63691124
93,19.56536713,19.56536713
94,28.43522338,28.43522338
95,9.104683076,9.104683076
96,14.22139307,14.22139307
97,19.5398255,19.5398255
98,25.81841603,25.81841603
99,16.12564635,16.12564635
100,18.24087745,18.24087745
101,16.50753122,16.50753122
102,22.4446536,22.4446536
103,22.12709211,22.12709211
104,23.07429757,23.07429757
105,22.44789905,22.44789905
106,12.12625549,12.12625549
107,9.07245569,9.07245569
108,20.15896275,20.15896275
109,19.20844558,19.20844558
110,15.13944223,15.13944223
111,20.09212345,20.09212345
112,20.27994073,20.27994073
113,28.42277047,28.42277047
114,25.09721676,25.09721676
115,24.56705969,24.56705969
116,20.18023892,20.18023892
117,21.91959341,21.91959341
118,15.24746388,15.24746388
119,23.86993574,23.86993574
120,14.51363641,14.51363641
121,24.91420149,24.91420149
122,25.72559367,25.72559367
123,24.64701511,24.64701511
124,23.65891473,23.65891473
125,20.56418384,20.56418384
126,23.398166,23.398166
127,23.27165876,23.27165876
128,17.67881993,17.67881993
129,14.56547849,14.56547849
130,11.42803747,11.42803747
131,17.48594018,17.48594018
132,18.58931967,18.58931967
133,19.36874467,19.36874467
134,15.15277243,15.15277243
135,18.74074197,18.74074197
136,10.3769798,10.3769798
137,17.67677822,17.67677822
138,19.92527587,19.92527587
139,23.35978717,23.35978717
140,13.61631401,13.61631401
141,20.46402768,20.46402768
142,19.85758839,19.85758839
143,22.0644081,22.0644081
144,16.83500924,16.83500924
145,19.13527077,19.13527077
146,22.89349785,22.89349785
147,20.78361177,20.78361177
148,16.36902678,16.36902678
149,16.27902005,16.27902005
150,19.70079877,19.70079877
151,17.99762945,17.99762945
152,13.22659042,13.22659042
153,17.6848685,17.6848685
154,10.95474286,10.95474286
155,15.45997184,15.45997184
156,13.1580216,13.1580216
157,11.2755253,11.2755253
158,10.26070999,10.26070999
159,19.43765839,19.43765839
160,17.85758034,17.85758034
161,14.47963801,14.47963801
162,16.02505379,16.02505379
163,17.32997038,17.32997038
164,21.40074961,21.40074961
165,23.45356306,23.45356306
166,21.57091691,21.57091691
167,22.25954791,22.25954791
168,22.63436136,22.63436136
169,26.04180106,26.04180106
170,25.61384257,25.61384257
171,21.64655558,21.64655558
172,16.00518196,16.00518196
173,16.08976265,16.08976265
174,25.21834282,25.21834282
175,24.62180369,24.62180369
176,16.31956739,16.31956739
177,8.939351671,8.939351671
178,22.22964589,22.22964589
179,27.35276519,27.35276519
180,24.22518958,24.22518958
181,17.24771847,17.24771847
182,17.57259866,17.57259866
183,17.63552522,17.63552522
184,17.09118392,17.09118392
185,24.87896939,24.87896939
186,24.43589341,24.43589341
187,23.51867258,23.51867258
188,19.08903559,19.08903559
189,29.94330262,29.94330262
190,21.6386007,21.6386007
191,24.07999386,24.07999386
192,18.57949424,18.57949424
193,24.70364238,24.70364238
194,26.72069152,26.72069152
195,22.5397865,22.5397865
196,26.21292607,26.21292607
197,26.21912048,26.21912048
198,23.35517529,23.35517529
199,22.42406413,22.42406413
200,16.11479605,16.11479605
201,19.44035931,19.44035931
202,16.14863223,16.14863223
203,16.98177386,16.98177386
204,6.424154415,6.424154415
205,8.142880398,8.142880398
